polish_title,original_title,year,rating
Incepcja,Inception,2010,"8,25"
Avengers: Wojna bez granic,Avengers: Infinity War,2018,"8,13"
Gwiezdne wojny: Część V - Imperium kontratakuje,Star Wars: Episode V - The Empire Strikes Back,1980,"8,09"
Gwiezdne wojny: Część VI - Powrót Jedi,Star Wars: Episode VI - Return of the Jedi,1983,"8,08"
Avengers: Koniec gry,Avengers: Endgame,2019,"8,04"
Mroczny Rycerz,The Dark Knight,2008,"8,01"
Spider-Man: Bez drogi do domu,Spider-Man: No Way Home,2021,"7,98"
Metropolis,,1927,"7,98"
Interstellar,,2014,"7,93"
Mechaniczna pomarańcza,A Clockwork Orange,1971,"7,92"
Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,1977,"7,91"
Stalker,,1979,"7,86"
Ghost in the Shell,Kōkaku Kidōtai,1995,"7,86"
"Obcy - 8. pasażer ""Nostromo""",Alien,1979,"7,85"
Akira,,1988,"7,81"
Twardowsky 2.0,,2016,"7,80"
Kowboj Bebop: Pukając do nieba bram,Cowboy Bebop: Tengoku no Tobira,2001,"7,79"
Diuna,Dune,2021,"7,78"
Efekt motyla,The Butterfly Effect,2004,"7,76"
Seksmisja,,1983,"7,76"
Interstella 5555,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"7,75"
2001: Odyseja kosmiczna,2001: A Space Odyssey,1968,"7,73"
Mroczny Rycerz powstaje,The Dark Knight Rises,2012,"7,73"
Łowca androidów,Blade Runner,1982,"7,71"
Twardowsky,,2015,"7,71"
Wielka Szóstka,Big Hero 6,2014,"7,71"
Podróż na Księżyc,Le voyage dans la lune,1902,"7,68"
Dzika planeta,La Planète sauvage,1973,"7,67"
Stalowy gigant,The Iron Giant,1999,"7,65"
Rocky Horror Picture Show,The Rocky Horror Picture Show,1975,"7,64"
Iron Man,,2008,"7,62"
Planeta skarbów,Treasure Planet,2002,"7,62"
Logan: Wolverine,Logan,2017,"7,62"
O dziewczynie skaczącej przez czas,Toki o Kakeru Shōjo,2006,"7,61"
Gwiezdne wojny: Część III - Zemsta Sithów,Star Wars: Episode III - Revenge of the Sith,2005,"7,61"
Terminator 2: Dzień sądu,Terminator 2: Judgment Day,1991,"7,60"
Obcy - decydujące starcie,Aliens,1986,"7,60"
Deadpool 2,,2018,"7,58"
Brazil,,1985,"7,58"
Marsjanin,The Martian,2015,"7,58"
Jestem Bogiem,Limitless,2011,"7,57"
WALL·E,,2008,"7,57"
Ghost in the Shell 2: Innocence,Innocence,2004,"7,57"
Matrix,The Matrix,1999,"7,56"
12 małp,Twelve Monkeys,1995,"7,56"
Deadpool,,2016,"7,56"
Strażnicy Galaktyki vol. 2,Guardians of the Galaxy Vol. 2,2017,"7,55"
Batman - Początek,Batman Begins,2005,"7,55"
Blade Runner 2049,,2017,"7,54"
Jodorowsky's Dune,,2013,"7,53"
Młody Frankenstein,Young Frankenstein,1974,"7,52"
Jestem legendą,I Am Legend,2007,"7,51"
Dragon Ball Z: Tatta Hitori no Saishū Kessen - Frēzer ni Idon da Z Senshi Songokū no Chichi,,1990,"7,50"
Coś,The Thing,1982,"7,50"
Powrót do przyszłości II,Back to the Future Part II,1989,"7,49"
Dragon Ball Z: Historia Trunksa,Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu,1993,"7,49"
Final Fantasy VII: Advent Children,,2005,"7,49"
Dragon Ball Z: Legendarny Super Saiyan,Doragon bôru Z: Moetsukiro!! Nessen retsusen-chô gekisen,1993,"7,48"
Początek,I Origins,2014,"7,48"
Metropolis,,2001,"7,48"
Dragon Ball Z: Atak Smoka,Dragon Ball Z 13: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru,1995,"7,47"
Avengers,The Avengers,2012,"7,47"
Strażnicy Galaktyki,Guardians of the Galaxy,2014,"7,46"
Kapitan Ameryka: Wojna bohaterów,Captain America: Civil War,2016,"7,46"
Dragon Ball Z: Fuzja,Doragon bôru Z: Fukkatsu no fyushon!! Gokû to Bejîta,1995,"7,45"
Gattaca - Szok przyszłości,Gattaca,1997,"7,45"
Paprika,,2006,"7,45"
Mr. Nobody,,2009,"7,45"
Ona,Her,2013,"7,45"
Jaga,,2016,"7,44"
V jak Vendetta,V for Vendetta,2005,"7,44"
Photon,,2017,"7,44"
Equilibrium,,2002,"7,44"
Powrót do przyszłości,Back to the Future,1985,"7,44"
Powrót do przyszłości III,Back to the Future Part III,1990,"7,43"
Animatrix,The Animatrix,2003,"7,43"
Dragon Ball Z: Najeźdzcy z kosmosu,Dragon Ball Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu,1993,"7,42"
Liga Sprawiedliwych: Zaburzone kontinuum,Justice League: The Flashpoint Paradox,2013,"7,42"
"X-Men: Przeszłość, która nadejdzie",X-Men: Days of Future Past,2014,"7,42"
Evangelion 2.22: (Nie) możesz iść naprzód,Evangelion Shin Gekijōban: Ha,2009,"7,42"
Twarze na sprzedaż,Seconds,1966,"7,41"
Jin-Rō,,1999,"7,41"
Piąty element,The Fifth Element,1997,"7,41"
Kōkaku Kidōtai Stand Alone Complex: Solid State Society,,2006,"7,41"
Doragon bôru: Ossu! Kaette kita son gokuu to nakama-tachi!!,,2008,"7,41"
Wehikuł czasu,The Time Machine,1960,"7,41"
Kontakt,Contact,1997,"7,41"
Truman Show,The Truman Show,1998,"7,40"
Filar,La jetée,1962,"7,39"
Dragon Ball Z: Zemsta Coolera,Dragonball Z 5: Tobikkiri no saikyô tai saikyô,1991,"7,39"
Na skraju jutra,Edge of Tomorrow,2014,"7,38"
Łotr 1. Gwiezdne wojny - historie,Rogue One: A Star Wars Story,2016,"7,38"
451 stopni Fahrenheita,Fahrenheit 451,1966,"7,38"
Evangelion: Death (True)²,Shinseiki Evangelion Gekijōban: Shi to Shinsei,1997,"7,37"
Kōkaku Kidōtai: Stand Alone Complex - The Laughing Man,,2005,"7,37"
9,,2009,"7,37"
Stargate SG-1: Children of the Gods - Final Cut,,2009,"7,36"
Iron Man 3,,2013,"7,36"
Ziemia kiedyś nam obiecana,"Kumo no Mukō, Yakusoku no Basho",2004,"7,36"
Dragon Ball Z: Powrót Coolera,Dragon Ball Z: Gekitotsu!! Hyaku Oku Power no Senshi-tachi,1992,"7,36"
